T_K,J_exp,J_calc,J_sink,J_trap1,J_trap2,J_trap3,J_trap4,J_trap5
3.000363891601559772e+02,0.000000000000000000e+00,1.415645435905586462e+06,1.211068552073233795e+10,2.665445732242773504e+18,1.529984845960533600e+16,1.410202774186666875e+14,1.259383466666666794e+10,-0.000000000000000000e+00
3.009100036621089771e+02,3.116592350935830000e+14,6.518032423089802265e+08,1.477816577310822144e+11,1.512311733024227840e+18,8.889907456550560000e+15,8.382722305036226562e+13,7.565629885854229927e+09,0.000000000000000000e+00
3.015199890136719887e+02,0.000000000000000000e+00,1.166638755923666239e+09,2.119806829796989441e+11,7.109318529101777920e+17,4.346172950227147000e+15,4.256030116086278125e+13,4.061074464135383606e+09,0.000000000000000000e+00
3.023692169189459946e+02,6.461617148113370000e+14,1.631197739146414042e+09,3.037088426589577637e+11,2.637620869591258240e+17,1.819759620032221000e+15,1.980589089830709766e+13,2.141817704132928610e+09,-3.085446273463742109e+05
3.038099975585939774e+02,6.345340003681740000e+14,2.237686390800597191e+09,4.838755563607463379e+11,1.039844732356432800e+17,9.523109654064360000e+14,1.252331619112120312e+13,1.645139866863598824e+09,0.000000000000000000e+00
3.050100097656250000e+02,4.144511205298535000e+14,2.800809810984748363e+09,6.729410025052972412e+11,8.884387449877584000e+16,8.978661654050817500e+14,1.252911295170455469e+13,1.722832369290832758e+09,0.000000000000000000e+00
3.061719242976259920e+02,7.194866034336978750e+14,3.450819639600706100e+09,8.964022590867500000e+11,8.677497283208204800e+16,9.144590435906068750e+14,1.315950093400719336e+13,1.893878250040088177e+09,0.000000000000000000e+00
3.077430772047770233e+02,1.131287379484289844e+14,4.561693780553775787e+09,1.285618145722458984e+12,8.828369734163628800e+16,9.616460879421875000e+14,1.428285797031943750e+13,2.133397971721068621e+09,0.000000000000000000e+00
3.093500061035160229e+02,9.864137854406147500e+14,6.028495435705698967e+09,1.810295324147895996e+12,9.072253669164273600e+16,1.016656335496668375e+15,1.555836297214779688e+13,2.418676014793818474e+09,0.000000000000000000e+00
3.110299987792969887e+02,6.348168381226880000e+14,8.079497987193920135e+09,2.563347801345573242e+12,9.344666401735608000e+16,1.077792813230647375e+15,1.701060470568341797e+13,2.782328657260413170e+09,0.000000000000000000e+00
3.134400024414060226e+02,1.151036640942354000e+15,1.214465079539142799e+10,4.102421274408664062e+12,9.749414424776734400e+16,1.171019491975715500e+15,1.929636560243179297e+13,3.363404163115748882e+09,0.000000000000000000e+00
3.158500061035160229e+02,1.524112406815733750e+15,1.824225714531597137e+10,6.502190721365214844e+12,1.016998676759974880e+17,1.271590166652382250e+15,2.186529654477092969e+13,4.051765447430906296e+09,1.125624615774901758e+05
