T_K,J_exp,J_calc,J_trap1,J_trap2,J_trap3,J_trap4
3.001900024414060226e+02,0.000000000000000000e+00,6.729994886125403404e+09,2.851076460452346880e+17,2.869809491929065625e+14,4.370104884032457733e+10,0.000000000000000000e+00
3.005328456333700160e+02,0.000000000000000000e+00,1.048235280127701569e+10,1.703299776430860400e+16,2.044136897344897266e+13,3.579211194323153019e+09,0.000000000000000000e+00
3.011600036621089771e+02,0.000000000000000000e+00,1.185124150909773064e+10,3.905247810180045000e+15,7.654206731786753906e+12,1.720261584867746115e+09,0.000000000000000000e+00
3.011600036621089771e+02,0.000000000000000000e+00,1.185124150909773064e+10,3.905247810180045000e+15,7.654206731786753906e+12,1.720261584867746115e+09,0.000000000000000000e+00
3.013999938964839771e+02,0.000000000000000000e+00,1.233562221981842804e+10,3.810506573111746000e+15,7.629957836045870117e+12,1.734633058878830433e+09,1.310559716938263045e+04
3.018800048828130116e+02,0.000000000000000000e+00,1.335160455914742279e+10,3.812940375222577000e+15,7.761923947293645508e+12,1.787356262118851423e+09,2.607946341464208308e+04
3.023599853515630116e+02,0.000000000000000000e+00,1.444435935319065857e+10,3.845596060252427500e+15,7.922453318700192383e+12,1.844706196642099142e+09,0.000000000000000000e+00
3.028399963378910229e+02,0.000000000000000000e+00,1.562010871375134850e+10,3.880141838104217500e+15,8.086922481041408203e+12,1.904430432123218060e+09,0.000000000000000000e+00
3.030799865722660229e+02,0.000000000000000000e+00,1.622845207534427834e+10,3.897550267420098500e+15,8.169876857858465820e+12,1.934639428575411797e+09,0.000000000000000000e+00
3.035700073242189774e+02,0.000000000000000000e+00,1.757844629953193283e+10,3.933390853629167000e+15,8.342668877823449219e+12,1.997619470814081907e+09,6.099737086831223132e+04
3.042899780273439774e+02,0.000000000000000000e+00,1.974408787127383804e+10,3.986454788204576000e+15,8.601908231786727539e+12,2.093918322475260496e+09,3.173581582738528959e+04
3.045299987792969887e+02,0.000000000000000000e+00,2.050184702495521545e+10,4.004218170267599000e+15,8.689332339186318359e+12,2.126677820414127827e+09,1.340038948987014555e+04
3.045761507474459791e+02,6.964555248915969531e+13,2.066314040642242813e+10,4.007663571640234500e+15,8.706558878979115234e+12,2.133222289848045111e+09,1.298751897997071865e+04
3.052500000000000000e+02,1.235325191265830000e+14,2.301813042965875626e+10,4.057968709921752000e+15,8.958077750850298828e+12,2.228775871055484295e+09,6.959336528483815528e+03
3.054995898437500159e+02,0.000000000000000000e+00,2.395290604481335068e+10,4.077011441582422500e+15,9.054267659106943359e+12,2.265664454023067474e+09,7.465968423714431992e+03
3.062200012207030113e+02,0.000000000000000000e+00,2.686351017695872498e+10,4.133369906432133000e+15,9.342205371094250000e+12,2.377225244624401093e+09,1.824159986124731950e+04
3.064599914550780113e+02,0.000000000000000000e+00,2.788267162148022842e+10,4.152533505734329000e+15,9.440899328863214844e+12,2.415771678187995911e+09,1.954438718745191363e+04
3.066999816894530113e+02,5.067326194710450000e+14,2.901083263337948227e+10,4.172552620831623000e+15,9.545693814773101562e+12,2.457358554827995777e+09,1.581685118745191176e+04
3.076230773925780113e+02,0.000000000000000000e+00,3.353191627855472946e+10,4.249867047106242000e+15,9.953290006199650391e+12,2.620239298709908485e+09,5.177344000000001870e+03
3.078999938964839771e+02,0.000000000000000000e+00,3.504503614813571930e+10,4.273330609119395500e+15,1.007946103840128125e+13,2.671622819989855766e+09,5.177344000000001870e+03
3.083800048828130116e+02,0.000000000000000000e+00,3.766789954120480347e+10,4.314002679530015500e+15,1.029816769098065430e+13,2.760691742870024681e+09,5.177344000000001870e+03
3.086199951171880116e+02,2.956352665237560000e+14,3.918626883342498016e+10,4.334604187236440500e+15,1.041175652706130078e+13,2.807907465220859051e+09,1.369440922930154920e+04
3.091099853515630116e+02,0.000000000000000000e+00,4.229529577375899506e+10,4.376678016029927000e+15,1.064385547008235742e+13,2.904424384228858948e+09,3.145234522930155435e+04
