T_K,J_exp,J_calc,J_sink,J_trap1,J_trap2,J_trap3,J_trap4,J_trap5
3.001900024414060226e+02,0.000000000000000000e+00,8.722172778274009228e+08,1.702911898992757568e+11,2.820367960351765760e+17,1.631921793069938250e+15,1.512588912061669922e+13,1.329909222404640198e+09,0.000000000000000000e+00
3.005328456333700160e+02,0.000000000000000000e+00,1.384143758914533854e+09,3.025761576840317993e+11,1.730965166687844400e+16,1.131405920625676250e+14,1.168052198519161865e+12,1.185904684970003366e+08,0.000000000000000000e+00
3.011600036621089771e+02,0.000000000000000000e+00,1.584922511117342949e+09,4.668514560449922485e+11,3.746434279160739000e+15,3.590709382053779688e+13,4.734801402079907837e+11,6.014102779716312885e+07,0.000000000000000000e+00
3.011600036621089771e+02,0.000000000000000000e+00,1.584922511117342949e+09,4.668514560449922485e+11,3.746434279160739000e+15,3.590709382053779688e+13,4.734801402079907837e+11,6.014102779716312885e+07,0.000000000000000000e+00
3.013999938964839771e+02,0.000000000000000000e+00,1.657071804592039824e+09,5.161963333132116089e+11,3.641751150589858500e+15,3.552813201199201562e+13,4.736636173871092529e+11,6.064471213918910176e+07,0.000000000000000000e+00
3.018800048828130116e+02,0.000000000000000000e+00,1.809546688717048645e+09,6.027065994436746826e+11,3.638521864956145500e+15,3.593330266447971094e+13,4.841614105463162231e+11,6.330527174278040975e+07,0.000000000000000000e+00
3.023599853515630116e+02,0.000000000000000000e+00,1.975128120362659216e+09,6.797422334151837158e+11,3.668238554384437500e+15,3.652519950782713281e+13,4.963397918639086914e+11,6.514926919875823706e+07,0.000000000000000000e+00
3.028399963378910229e+02,0.000000000000000000e+00,2.154902687737277031e+09,7.533073572834031982e+11,3.700014264338837500e+15,3.713464551519152344e+13,5.088378361318878784e+11,6.787211765827651322e+07,0.000000000000000000e+00
3.030799865722660229e+02,0.000000000000000000e+00,2.248299126566101074e+09,7.896923685494355469e+11,3.716042243622571500e+15,3.744176915425775000e+13,5.151528333290036621e+11,6.931543841279835999e+07,0.000000000000000000e+00
3.035700073242189774e+02,0.000000000000000000e+00,2.457638605702668190e+09,8.654516134995299072e+11,3.749037475794847500e+15,3.807887108928428906e+13,5.283688243559116821e+11,7.187032310236477852e+07,0.000000000000000000e+00
3.042899780273439774e+02,0.000000000000000000e+00,2.797014787890754700e+09,9.826777749773807373e+11,3.797871847264448000e+15,3.903038122200081250e+13,5.482959627200832520e+11,7.587808445304006338e+07,0.000000000000000000e+00
3.045299987792969887e+02,0.000000000000000000e+00,2.916451579421242714e+09,1.023165408758380127e+12,3.814216012950496500e+15,3.935045327449427344e+13,5.550345116579519043e+11,7.725256739607059956e+07,0.000000000000000000e+00
3.045761507474459791e+02,6.964555248915969531e+13,2.942178063967674255e+09,1.031644320051030884e+12,3.817384714658696500e+15,3.941318337318809375e+13,5.563700297944736328e+11,7.752482600659856200e+07,0.000000000000000000e+00
