task,D0_factor,ED_shift_eV,p0_factor,D0,E_D,k0,E_k,p0,fraction1,fraction2,fraction3,fraction4,fraction5,E1,E2,E3,E4,E5,dE12,dE23,dE34,dE45,Kr0,Er,objective,mean_L1
0,1,0.00,0.1,7.78000000e-07,0.49023000,1.53187207e-16,0.49023000,1.00000000e+12,0.12861343,0.16717698,0.45370823,0.15910531,0.09139605,0.82158124,0.96314953,1.10914907,1.32401497,1.63809195,0.14156829,0.14599954,0.21486590,0.31407698,1.57460189e-21,1.19334641,4.26516182e-03,0.04777252
1,1,0.00,1,7.78000000e-07,0.49023000,1.53187207e-16,0.49023000,1.00000000e+13,0.12654304,0.16581731,0.45692251,0.15936622,0.09135092,0.91480893,1.05522347,1.20260982,1.41705684,1.73039792,0.14041454,0.14738635,0.21444702,0.31334108,1.39328746e-23,0.99708420,4.23763216e-03,0.04750600
2,1,0.00,10,7.78000000e-07,0.49023000,1.53187207e-16,0.49023000,1.00000000e+14,0.12378775,0.16448188,0.46003994,0.16016726,0.09152316,1.00686618,1.14620704,1.29592187,1.50988246,1.82296376,0.13934086,0.14971483,0.21396059,0.31308130,1.32923192e-25,0.80523175,4.22287675e-03,0.04734060
3,0.1,-0.10,1,7.78000000e-08,0.39023000,1.53187207e-17,0.39023000,1.00000000e+13,0.12382700,0.16477386,0.45975520,0.16011523,0.09152871,0.90654270,1.04609511,1.19577414,1.40981402,1.72296644,0.13955241,0.14967903,0.21403988,0.31315242,1.34993421e-25,0.80660840,4.22824633e-03,0.04737386
4,0.1,0.00,1,7.78000000e-08,0.49023000,1.53187207e-17,0.49023000,1.00000000e+13,0.12224556,0.16446517,0.46129630,0.16031647,0.09167650,1.00048179,1.13928358,1.28993161,1.50409387,1.81758547,0.13880179,0.15064803,0.21416226,0.31349160,1.30232488e-25,0.81462833,4.27402486e-03,0.04770060
5,0.1,0.10,1,7.78000000e-08,0.59023000,1.53187207e-17,0.59023000,1.00000000e+13,0.11567053,0.16318120,0.46818544,0.16083456,0.09212828,1.08090140,1.21658823,1.37114902,1.58520037,1.89885773,0.13568683,0.15456079,0.21405135,0.31365736,1.01120963e-25,0.83072954,4.48837394e-03,0.04905747
6,1,-0.10,1,7.78000000e-07,0.39023000,1.53187207e-16,0.39023000,1.00000000e+13,0.12842286,0.16692336,0.45475891,0.15878199,0.09111289,0.81925553,0.96102582,1.10700904,1.32153463,1.63448748,0.14177029,0.14598322,0.21452559,0.31295285,1.41913114e-23,0.99099363,4.22819235e-03,0.04739199
7,1,0.10,1,7.78000000e-07,0.59023000,1.53187207e-16,0.59023000,1.00000000e+13,0.12485029,0.16501441,0.45883241,0.15970877,0.09159413,1.00812883,1.14738486,1.29579023,1.51019126,1.82379172,0.13925603,0.14840537,0.21440103,0.31360046,1.33124392e-23,1.00605657,4.28693623e-03,0.04788007
8,10,-0.10,1,7.78000000e-06,0.39023000,1.53187207e-15,0.39023000,1.00000000e+13,0.13212610,0.17163441,0.44575391,0.15994857,0.09053701,0.85330878,1.00002785,1.14672171,1.36161037,1.67467736,0.14671907,0.14669386,0.21488866,0.31306699,2.50479573e-21,0.95072293,4.32549821e-03,0.04841962
9,10,0.00,1,7.78000000e-06,0.49023000,1.53187207e-15,0.49023000,1.00000000e+13,0.13026797,0.16764664,0.45224235,0.15871632,0.09112673,0.82844600,0.97088122,1.11568499,1.33030079,1.64354168,0.14243522,0.14480377,0.21461580,0.31324089,1.53280469e-21,1.17975442,4.24380029e-03,0.04759111
10,10,0.10,1,7.78000000e-06,0.59023000,1.53187207e-15,0.59023000,1.00000000e+13,0.12984062,0.16765674,0.45253496,0.15876364,0.09120405,0.92684780,1.06907892,1.21426074,1.42898926,1.74249235,0.14223112,0.14518182,0.21472852,0.31350309,1.55009348e-21,1.18305155,4.25495851e-03,0.04765442
